Search Results

Searching for first_cat sources within 30.0000 arcsec of 309 input positions

21 sources found

                                                                                    FIRST Catalog Database (2014dec17)                                                                                    
-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Do  Get Get  | Search     RA (2000)   Dec (2000)   Side   Peak     Int.     RMS   Deconv.  Deconv.  Deconv  Meas.     Meas.      Meas.    Field Name   SDSS Closest SDSS  SD 2MAS Closest 2MASS  Mean      Mean      RMS    
NED OPT FIMG |          15 07 52.530 +51 51 11.10                          0.140 
NED OPT FIMG |          15 08 35.150 -01 31 06.30                          0.156 
NED OPT FIMG |          15 12 57.190 +03 11 36.40                          0.144 
NED OPT FIMG |          15 19 28.180 +33 36 28.10                          0.147 
NED OPT FIMG |          15 23 25.780 +39 59 02.30                          0.137 
NED OPT FIMG |          15 23 47.000 +54 17 20.40                          0.196 
NED OPT FIMG |          15 30 01.820 -02 04 15.10                          0.141 
NED OPT FIMG |          15 34 25.590 +04 08 06.70                          0.137 
NED OPT FIMG |          15 36 56.440 +31 22 48.10                          0.129 
NED OPT FIMG |          15 41 50.860 +31 00 37.20                          0.137 
NED OPT FIMG |          15 42 57.490 +03 06 53.30                          0.151 
NED OPT FIMG |          15 46 23.620 +47 51 22.20                          0.153 
NED OPT FIMG |          15 46 39.950 +44 29 30.00                          0.145 
NED OPT FIMG |          15 57 11.970 +39 09 28.90                          0.127 
NED OPT FIMG |          16 06 56.040 +37 19 17.80                          0.134 
NED OPT FIMG |          16 12 27.840 +01 01 59.90                          0.151 
NED OPT FIMG |          16 17 51.990 -00 19 57.40                         -1.000*
NED OPT FIMG |          16 18 09.380 +36 19 57.80                          0.154 
NED OPT FIMG |          16 19 27.810 +39 58 32.30                          0.130 
NED OPT FIMG |          16 24 03.640 -00 54 10.40                         -1.000*
NED OPT FIMG |          16 25 42.160 -00 43 30.20                         -1.000*
NED OPT FIMG |          16 26 36.400 +35 02 42.10                          0.136 
NED OPT FIMG |          16 31 59.590 +24 37 40.30                          0.162 
NED OPT FIMG |          16 38 43.840 +47 30 51.70                          0.150 
NED OPT FIMG |          16 40 27.630 +47 12 56.50                          0.148 
NED OPT FIMG |          16 49 02.890 +22 39 59.50                          0.134 
NED OPT FIMG |          16 49 07.630 +64 24 22.30                          0.111 
NED OPT FIMG |          17 08 12.290 +60 15 12.70                          0.151 
NED OPT FIMG |          17 09 02.070 +64 17 28.10                          0.101 
NED OPT FIMG |          17 14 57.680 +54 44 55.00                          0.152 
NED OPT FIMG |          17 20 37.150 +57 48 56.30                          0.140 
NED OPT FIMG |          17 27 59.140 +54 21 47.10                          0.148 
NED OPT FIMG |          20 50 00.010 +00 31 24.80                          0.148 
NED OPT FIMG |          20 58 22.140 -06 50 04.40                          0.142 
NED OPT FIMG |          21 02 26.540 +00 07 02.30                          0.131 
NED OPT FIMG |          21 11 45.900 +09 38 13.70                          0.128 
NED OPT FIMG |          21 14 38.550 +11 13 21.20                          0.251 
NED OPT FIMG |          21 23 29.420 -08 12 55.00                          0.154 
NED OPT FIMG |          21 34 18.320 -06 43 35.30                          0.143 
NED OPT FIMG |          22 11 39.160 -01 05 35.10                          0.150 
NED OPT FIMG |          22 14 58.230 -08 20 20.60                          0.148 
NED OPT FIMG |          22 38 11.330 +14 33 43.40                          0.144*
NED OPT FIMG |          22 56 30.070 +14 10 20.70                         -1.000*
NED OPT FIMG |          23 06 49.780 +00 50 23.40                          0.114 
NED OPT FIMG |          23 09 20.840 +15 01 34.80                         -1.000*
NED OPT FIMG |          23 09 42.430 -10 35 29.50                          0.261 
NED OPT FIMG |          23 31 08.070 -09 47 11.80                          0.195 
NED OPT FIMG |          23 38 37.090 -00 28 10.50                          0.104 
NED OPT FIMG |          23 38 53.830 +00 48 12.50                          0.097 
NED OPT FIMG |          23 48 07.140 -09 12 02.60                          0.143 
NED OPT FIMG |          23 50 59.660 +14 57 06.30                          0.137*
NED OPT FIMG |          23 51 29.980 +00 04 03.70                          0.103 
NED OPT FIMG |          23 58 33.210 +00 34 53.50                          0.100 
-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

